"","category","name","reviewer","review","date","ratings"
"12","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Amazon Customer","It’s a great set.  The only issue is that I had to use a fork to open the lower level to get it open.  Plus once I slid the eyeshadow one came apart.  I will glue it.  But overall all. Excellent","Reviewed in the United States on 28 September 2023","5.0 out of 5 stars"
"13","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Amazon Customer","Great product , my wife love it","Reviewed in Canada on 16 February 2024","5.0 out of 5 stars"
"14","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Kyi po kosi Boisvert","Gave to my granddaughter for Christmas she absolutely loved it said there was so many colors to choose between","Reviewed in the United States on 4 January 2024","5.0 out of 5 stars"
"15","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Angela","This kit is so great to use and with a variety of quality shadows, blush and face powder... love it","Reviewed in Canada on 19 February 2024","5.0 out of 5 stars"
"16","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","E lle","Good quality. Smaller than I thought but now I like how handy it is to store.","Reviewed in Canada on 22 January 2024","5.0 out of 5 stars"
"17","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","randy ludwar","Both lower tray came apart","Reviewed in Canada on 20 January 2024","5.0 out of 5 stars"
"18","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Came two compartment apart.","My daughter  like so much","Reviewed in the United States on 31 January 2024","5.0 out of 5 stars"
"19","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Came two compartment apart.","Granddaughter just loves it. Thanks","Reviewed in Canada on 17 February 2024","3.0 out of 5 stars"
"20","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Kevin B.","Make up goes on smoothly and lasts all day !! Love this","Reviewed in the United States on 29 December 2023","3.0 out of 5 stars"
"21","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Tori Smith","Great","Reviewed in Australia on 6 February 2024","4.3 out of 5 stars"
"22","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Amazon Customer","It’s a great set.  The only issue is that I had to use a fork to open the lower level to get it open.  Plus once I slid the eyeshadow one came apart.  I will glue it.  But overall all. Excellent","Reviewed in the United States on 28 September 2023","5.0 out of 5 stars"
"23","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Amazon Customer","Great product , my wife love it","Reviewed in Canada on 16 February 2024","5.0 out of 5 stars"
"24","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Kyi po kosi Boisvert","Gave to my granddaughter for Christmas she absolutely loved it said there was so many colors to choose between","Reviewed in the United States on 4 January 2024","5.0 out of 5 stars"
"25","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Angela","This kit is so great to use and with a variety of quality shadows, blush and face powder... love it","Reviewed in Canada on 19 February 2024","5.0 out of 5 stars"
"26","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","E lle","Good quality. Smaller than I thought but now I like how handy it is to store.","Reviewed in Canada on 22 January 2024","5.0 out of 5 stars"
"27","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","randy ludwar","Both lower tray came apart","Reviewed in Canada on 20 January 2024","5.0 out of 5 stars"
"28","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Came two compartment apart.","My daughter  like so much","Reviewed in the United States on 31 January 2024","5.0 out of 5 stars"
"29","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Came two compartment apart.","Granddaughter just loves it. Thanks","Reviewed in Canada on 17 February 2024","3.0 out of 5 stars"
"30","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Kevin B.","Make up goes on smoothly and lasts all day !! Love this","Reviewed in the United States on 29 December 2023","3.0 out of 5 stars"
"31","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","cjane","😊😊😊","Reviewed in Australia on 16 September 2023","4.4 out of 5 stars"
"32","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Jannie","I usually use Maybelline's Instant Age Rewind Eraser Dark Circles Concealer, but the texture and the coverage which looks like your not wearing anything at all has me won over.","Reviewed in Australia on 5 August 2021","5.0 out of 5 stars"
"33","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Jess Domingo","I'm a big fan of the True Match range but this concealer does not work for me. I have tried to make it work for a few months now but every single time it settles into my dry patches, clumps together and stands out, and creases within ONE HOUR. After every use, I've had to scrape it out of my fine lines. I do not recommend it at all but I'll give it two stars since it does lighten my undereye area. I'll keep using it on days I'm not too fussed about the texture but will not repurchase it again. The Maybelline Instant Age Rewind Eraser works better for me.","Reviewed in Australia on 11 August 2022","5.0 out of 5 stars"
"34","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Sue Whiteley","i ordered and paid for 3 concealers and only 2 arrived.","Reviewed in Australia on 30 November 2020","2.0 out of 5 stars"
"35","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","manisha agnihotri","Pathetic.. I never thought i will ever say this for a loreal product. But this one is. I have always used loreal concealer but this one seems imported and not like my usual concealer. Texture is so thin offers no coverage at all..and peels which is very strange. The color also doesnt seem like the normal 2r/2c concealer and leaves a white mark. I use all loreal powder, foundation concealer in 2 r / 2 c but this just doesnt match the skin or color of other products in same family. Sad but this goes  to dustbin and money down the drain","Reviewed in India on 7 January 2019","1.0 out of 5 stars"
"36","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Placeholder","Grabbed over a nice deal on Amazon","Reviewed in India on 19 January 2019","1.0 out of 5 stars"
"37","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","tenaj66","Creamy formula and good coverage. Thank you for a good product.","Reviewed in the United Kingdom on 1 December 2023","5.0 out of 5 stars"
"38","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Cliente Amazon","No cuartel en la ojera.","Reviewed in Spain on 29 July 2023","5.0 out of 5 stars"
"39","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","noelia hernandez simon","Algo más caro que en tienda","Reviewed in Spain on 27 February 2024","5.0 out of 5 stars"
"40","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","V. Jarry","I was impressed by how fast it was delivered, given that it was shipped from France. Love this product and was happy to find it online, as I couldn't find it in Canada.","Reviewed in Canada on 2 April 2022","5.0 out of 5 stars"
"41","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","cjane","😊😊😊","Reviewed in Australia on 16 September 2023","4.4 out of 5 stars"
"42","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Jannie","I usually use Maybelline's Instant Age Rewind Eraser Dark Circles Concealer, but the texture and the coverage which looks like your not wearing anything at all has me won over.","Reviewed in Australia on 5 August 2021","5.0 out of 5 stars"
"43","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Jess Domingo","I'm a big fan of the True Match range but this concealer does not work for me. I have tried to make it work for a few months now but every single time it settles into my dry patches, clumps together and stands out, and creases within ONE HOUR. After every use, I've had to scrape it out of my fine lines. I do not recommend it at all but I'll give it two stars since it does lighten my undereye area. I'll keep using it on days I'm not too fussed about the texture but will not repurchase it again. The Maybelline Instant Age Rewind Eraser works better for me.","Reviewed in Australia on 11 August 2022","5.0 out of 5 stars"
"44","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Sue Whiteley","i ordered and paid for 3 concealers and only 2 arrived.","Reviewed in Australia on 30 November 2020","2.0 out of 5 stars"
"45","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","manisha agnihotri","Pathetic.. I never thought i will ever say this for a loreal product. But this one is. I have always used loreal concealer but this one seems imported and not like my usual concealer. Texture is so thin offers no coverage at all..and peels which is very strange. The color also doesnt seem like the normal 2r/2c concealer and leaves a white mark. I use all loreal powder, foundation concealer in 2 r / 2 c but this just doesnt match the skin or color of other products in same family. Sad but this goes  to dustbin and money down the drain","Reviewed in India on 7 January 2019","1.0 out of 5 stars"
"46","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Placeholder","Grabbed over a nice deal on Amazon","Reviewed in India on 19 January 2019","1.0 out of 5 stars"
"47","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","tenaj66","Creamy formula and good coverage. Thank you for a good product.","Reviewed in the United Kingdom on 1 December 2023","5.0 out of 5 stars"
"48","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Cliente Amazon","No cuartel en la ojera.","Reviewed in Spain on 29 July 2023","5.0 out of 5 stars"
"49","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","noelia hernandez simon","Algo más caro que en tienda","Reviewed in Spain on 27 February 2024","5.0 out of 5 stars"
"50","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","V. Jarry","I was impressed by how fast it was delivered, given that it was shipped from France. Love this product and was happy to find it online, as I couldn't find it in Canada.","Reviewed in Canada on 2 April 2022","5.0 out of 5 stars"
"51","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","cjane","😊😊😊","Reviewed in Australia on 16 September 2023","4.4 out of 5 stars"
"52","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Jannie","I usually use Maybelline's Instant Age Rewind Eraser Dark Circles Concealer, but the texture and the coverage which looks like your not wearing anything at all has me won over.","Reviewed in Australia on 5 August 2021","5.0 out of 5 stars"
"53","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Jess Domingo","I'm a big fan of the True Match range but this concealer does not work for me. I have tried to make it work for a few months now but every single time it settles into my dry patches, clumps together and stands out, and creases within ONE HOUR. After every use, I've had to scrape it out of my fine lines. I do not recommend it at all but I'll give it two stars since it does lighten my undereye area. I'll keep using it on days I'm not too fussed about the texture but will not repurchase it again. The Maybelline Instant Age Rewind Eraser works better for me.","Reviewed in Australia on 11 August 2022","5.0 out of 5 stars"
"54","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Sue Whiteley","i ordered and paid for 3 concealers and only 2 arrived.","Reviewed in Australia on 30 November 2020","2.0 out of 5 stars"
"55","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","manisha agnihotri","Pathetic.. I never thought i will ever say this for a loreal product. But this one is. I have always used loreal concealer but this one seems imported and not like my usual concealer. Texture is so thin offers no coverage at all..and peels which is very strange. The color also doesnt seem like the normal 2r/2c concealer and leaves a white mark. I use all loreal powder, foundation concealer in 2 r / 2 c but this just doesnt match the skin or color of other products in same family. Sad but this goes  to dustbin and money down the drain","Reviewed in India on 7 January 2019","1.0 out of 5 stars"
"56","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Placeholder","Grabbed over a nice deal on Amazon","Reviewed in India on 19 January 2019","1.0 out of 5 stars"
"57","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","tenaj66","Creamy formula and good coverage. Thank you for a good product.","Reviewed in the United Kingdom on 1 December 2023","5.0 out of 5 stars"
"58","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","Cliente Amazon","No cuartel en la ojera.","Reviewed in Spain on 29 July 2023","5.0 out of 5 stars"
"59","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","noelia hernandez simon","Algo más caro que en tienda","Reviewed in Spain on 27 February 2024","5.0 out of 5 stars"
"60","Makeup","L'Oreal Paris True Match Concealer 2N Vanilla","V. Jarry","I was impressed by how fast it was delivered, given that it was shipped from France. Love this product and was happy to find it online, as I couldn't find it in Canada.","Reviewed in Canada on 2 April 2022","5.0 out of 5 stars"
"61","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Ché","This product is very gentle on my skin it does not irritate or aggravate acne prone skin. It doesn’t not leave your skin matte or in this case mine… but it does keep your makeup intact and after a couple of hours your skin has a natural looking glow, so the make up does not look like make up. Love it!","Reviewed in Australia on 22 June 2023","4.3 out of 5 stars"
"62","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Hannah Elliott","Love it","Reviewed in Australia on 31 July 2023","5.0 out of 5 stars"
"63","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Ché","This is the first time I've used this brand and so far so good ( that's why I've only used 4 stars).It did however keep my make-up in place for the majority of the day (which was impressive)So I'll continue to use it whenever it's required.I use a kabuki brush and setting powder and then I apply this 'setting spray ',.The 'setting spray ' is nice and light, which is refreshing and there's basically no odor, so it's very pleasant to use.Yes I would purchase this again.","Reviewed in Australia on 22 June 2023","3.0 out of 5 stars"
"64","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Kylie H","Very good quality","Reviewed in Australia on 26 July 2023","5.0 out of 5 stars"
"65","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Ange","it makes my makeup cakey and patchy so i’ve stopped using","Reviewed in Australia on 19 October 2023","5.0 out of 5 stars"
"66","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Rada","Been using this a while now, and it drys nice on the face , so it’s my every day setting spray x","Reviewed in Australia on 16 December 2023","4.0 out of 5 stars"
"67","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Hannah Elliott","No smell and not sticky, this product is really good for everyday use and to help with long lasting make-up wear. I don't need to reapply my make-up during the day thanks to this product.","Reviewed in Australia on 31 July 2023","5.0 out of 5 stars"
"68","Makeup","Maybelline Lasting Fix Makeup Setting Spray","julie ann","First time using this product and I love it. Goes on light spray and kept my makeup last all day. Definitely going to keep using this.","Reviewed in Australia on 13 November 2023","3.0 out of 5 stars"
"69","Makeup","Maybelline Lasting Fix Makeup Setting Spray","AM2008","Best product","Reviewed in Australia on 21 October 2023","5.0 out of 5 stars"
"70","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Pamela","It doesn't like to spray mist anymore it jets it out","Reviewed in Australia on 20 January 2024","5.0 out of 5 stars"
"71","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Ché","This product is very gentle on my skin it does not irritate or aggravate acne prone skin. It doesn’t not leave your skin matte or in this case mine… but it does keep your makeup intact and after a couple of hours your skin has a natural looking glow, so the make up does not look like make up. Love it!","Reviewed in Australia on 22 June 2023","4.3 out of 5 stars"
"72","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Hannah Elliott","Love it","Reviewed in Australia on 31 July 2023","5.0 out of 5 stars"
"73","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Ché","This is the first time I've used this brand and so far so good ( that's why I've only used 4 stars).It did however keep my make-up in place for the majority of the day (which was impressive)So I'll continue to use it whenever it's required.I use a kabuki brush and setting powder and then I apply this 'setting spray ',.The 'setting spray ' is nice and light, which is refreshing and there's basically no odor, so it's very pleasant to use.Yes I would purchase this again.","Reviewed in Australia on 22 June 2023","3.0 out of 5 stars"
"74","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Kylie H","Very good quality","Reviewed in Australia on 26 July 2023","5.0 out of 5 stars"
"75","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Ange","it makes my makeup cakey and patchy so i’ve stopped using","Reviewed in Australia on 19 October 2023","5.0 out of 5 stars"
"76","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Rada","Been using this a while now, and it drys nice on the face , so it’s my every day setting spray x","Reviewed in Australia on 16 December 2023","4.0 out of 5 stars"
"77","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Hannah Elliott","No smell and not sticky, this product is really good for everyday use and to help with long lasting make-up wear. I don't need to reapply my make-up during the day thanks to this product.","Reviewed in Australia on 31 July 2023","5.0 out of 5 stars"
"78","Makeup","Maybelline Lasting Fix Makeup Setting Spray","julie ann","First time using this product and I love it. Goes on light spray and kept my makeup last all day. Definitely going to keep using this.","Reviewed in Australia on 13 November 2023","3.0 out of 5 stars"
"79","Makeup","Maybelline Lasting Fix Makeup Setting Spray","AM2008","Best product","Reviewed in Australia on 21 October 2023","5.0 out of 5 stars"
"80","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Pamela","It doesn't like to spray mist anymore it jets it out","Reviewed in Australia on 20 January 2024","5.0 out of 5 stars"
"81","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Ché","This product is very gentle on my skin it does not irritate or aggravate acne prone skin. It doesn’t not leave your skin matte or in this case mine… but it does keep your makeup intact and after a couple of hours your skin has a natural looking glow, so the make up does not look like make up. Love it!","Reviewed in Australia on 22 June 2023","4.3 out of 5 stars"
"82","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Hannah Elliott","Love it","Reviewed in Australia on 31 July 2023","5.0 out of 5 stars"
"83","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Ché","This is the first time I've used this brand and so far so good ( that's why I've only used 4 stars).It did however keep my make-up in place for the majority of the day (which was impressive)So I'll continue to use it whenever it's required.I use a kabuki brush and setting powder and then I apply this 'setting spray ',.The 'setting spray ' is nice and light, which is refreshing and there's basically no odor, so it's very pleasant to use.Yes I would purchase this again.","Reviewed in Australia on 22 June 2023","3.0 out of 5 stars"
"84","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Kylie H","Very good quality","Reviewed in Australia on 26 July 2023","5.0 out of 5 stars"
"85","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Ange","it makes my makeup cakey and patchy so i’ve stopped using","Reviewed in Australia on 19 October 2023","5.0 out of 5 stars"
"86","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Rada","Been using this a while now, and it drys nice on the face , so it’s my every day setting spray x","Reviewed in Australia on 16 December 2023","4.0 out of 5 stars"
"87","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Hannah Elliott","No smell and not sticky, this product is really good for everyday use and to help with long lasting make-up wear. I don't need to reapply my make-up during the day thanks to this product.","Reviewed in Australia on 31 July 2023","5.0 out of 5 stars"
"88","Makeup","Maybelline Lasting Fix Makeup Setting Spray","julie ann","First time using this product and I love it. Goes on light spray and kept my makeup last all day. Definitely going to keep using this.","Reviewed in Australia on 13 November 2023","3.0 out of 5 stars"
"89","Makeup","Maybelline Lasting Fix Makeup Setting Spray","AM2008","Best product","Reviewed in Australia on 21 October 2023","5.0 out of 5 stars"
"90","Makeup","Maybelline Lasting Fix Makeup Setting Spray","Pamela","It doesn't like to spray mist anymore it jets it out","Reviewed in Australia on 20 January 2024","5.0 out of 5 stars"
"91","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","ashleigh beer","I expected it to be a bit darker though","Reviewed in Australia on 22 January 2024","4.5 out of 5 stars"
"92","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","Oxbart","My go-to brow and lash dye","Reviewed in Australia on 18 October 2023","5.0 out of 5 stars"
"93","Makeup","1000 HOUR Eyelash and Brow Dye Kit, Brown/Black, 72 g","ashleigh beer","I have been using this product for several years now, and it does wonders for my eyebrows. The tinting lasts for several weeks, and it looks like the tint I used to have done at a salon before I started using this kit. This is so because the results look natural and polished and it doesn't tint my skin at all. The kit comes with everything you need, so you don't need any extra tool or container to develop and use the product. I sometimes use the product to tint the grey hairs around my temples.I have sensitive skin but I have never had any problem with this product.I have never used this for tinting my eyelashes, so I cannot comment on that.SO-SO1/ They seem to have changed the formula recently and the colouring doesn't last as much on my eyebrows and it is not as saturated as it used to be.2/ The quantity of accelerator and tinting cream is not balanced, so I usually finish the tube with the colouring and the developing liquid bottle is still half full.MINDAllow extra time if you have some grey hairs.","Reviewed in Australia on 22 January 2024","3.0 out of 5 stars"
