"","title","author","subject","abstract","date"
"11","pedophysics: an open-source python package for soil geophysics","gaston mendoza veirana, philippe de smedt, jeroen verhegge, wim cornelis","geophysics","this study introduces pedophysics, an open-source python package designed to facilitate solutions for users who work in the field of soil assessment using near-surface geophysical electromagnetic techniques. at the core of this software is the ability to translate geophysical data into specific soil properties (and vice-versa) using pedophysical models (pm). pedophysical modelling techniques offer valuable insights into various realms including precision agriculture, soil health, resource prospecting, nutrient and land management, hydrogeology, and heritage conservation. in developing a tool for pedophysical modelling, some challenges emerged: selecting suitable pms from the extensive literature, adapting these to specific conditions, and ensuring adequate data availability. while addressing these, we designed an automated workflow that implements robust pms (selected after a throughout review), apply different modelling approaches based on soil characteristics and targeted properties, and employs pedotransfer functions and assumptions to integrate missing soil data into pms. the capabilities of pedophysics extend to handling complex scenarios such as fusing data from different instruments, incorporating continuous monitoring measurements, and soil calibration data. with these solutions, pedophysics automates the process of deriving targeted soil and geophysical properties with state-of-art accuracy. hereby, users can rely on pedophysics to implement specific knowledge about pedophysical modeling. the software promotes global access to advanced soil geophysical solutions by being open-source and encouraging community contributions. pedophysics is written in pure python and has minimal dependencies. it can be easily installed from the python package index (pypi).",2024-03-12
"12","physics-constrained active learning for soil moisture estimation and optimal sensor placement","jianxin xie, bing yao, zheyu jiang","signal processing","soil moisture is a crucial hydrological state variable that has significant importance to the global environment and agriculture. precise monitoring of soil moisture in crop fields is critical to reducing agricultural drought and improving crop yield. in-situ soil moisture sensors, which are buried at pre-determined depths and distributed across the field, are promising solutions for monitoring soil moisture. however, high-density sensor deployment is neither economically feasible nor practical. thus, to achieve a higher spatial resolution of soil moisture dynamics using a limited number of sensors, we integrate a physics-based agro-hydrological model based on richards' equation in a physics-constrained deep learning framework to accurately predict soil moisture dynamics in the soil's root zone. this approach ensures that soil moisture estimates align well with sensor observations while obeying physical laws at the same time. furthermore, to strategically identify the locations for sensor placement, we introduce a novel active learning framework that combines space-filling design and physics residual-based sampling to maximize data acquisition potential with limited sensors. our numerical results demonstrate that integrating physics-constrained deep learning (p-dl) with an active learning strategy within a unified framework--named the physics-constrained active learning (p-dal) framework--significantly improves the predictive accuracy and effectiveness of field-scale soil moisture monitoring using in-situ sensors.",2024-03-12
"13","a geospatial approach to predicting desert locust breeding grounds in africa","ibrahim salihu yusuf, mukhtar opeyemi yusuf, kobby panford-quainoo, arnu pretorius","machine learning","desert locust swarms present a major threat to agriculture and food security. addressing this challenge, our study develops an operationally-ready model for predicting locust breeding grounds, which has the potential to enhance early warning systems and targeted control measures. we curated a dataset from the united nations food and agriculture organization's (un-fao) locust observation records and analyzed it using two types of spatio-temporal input features: remotely-sensed environmental and climate data as well as multi-spectral earth observation images. our approach employed custom deep learning models (three-dimensional and lstm-based recurrent convolutional networks), along with the geospatial foundational model prithvi recently released by jakubik et al., 2023. these models notably outperformed existing baselines, with the prithvi-based model, fine-tuned on multi-spectral images from nasa's harmonized landsat and sentinel-2 (hls) dataset, achieving the highest accuracy, f1 and roc-auc scores (83.03%, 81.53% and 87.69%, respectively). a significant finding from our research is that multi-spectral earth observation images alone are sufficient for effective locust breeding ground prediction without the need to explicitly incorporate climatic or environmental features.",2024-03-11
"14","a microwave imaging system for soil moisture estimation in subsurface drip irrigation","mohammad ramezaninia, mohammad zoofaghari","image and video processing","the microwave imaging system(mis) stands out among prominent imaging tools for capturing images of concealed obstacles. leveraging its capability to penetrate through heterogeneous environments mis has been widely used for subsurface imaging. monitoring subsurface drip irrigation(sdi) as an efficient procedure in agricultural irrigation is essential to maintain the required moisture percentage for plant growth which is a novel mis application. in this research, we implement a laboratory-scale mis for sdi reflecting real-world conditions to evaluate leakage localization and quantification in a heterogeneous area. we extract a model to quantify the moisture content by exploiting an imaging approach that could be used in a scheduled sdi. we employ the subspace information of images formed by back projection and born approximation algorithms for model parametrization and estimate the model parameters using a statistical curve fitting technique. we then compare the performance of these imaging techniques in the presence of environmental clutter such as plant roots and pebbles. the proposed approach can well contribute to efficient mechanistic subsurface irrigation for which the local moisture around the root is obtained noninvasively and remotely with less than 20% estimation error.",2024-03-08
"15","decades matter: agricultural diversification increases financial profitability, biodiversity, and ecosystem services over time","estelle raveloaritiana (1 and 2), thomas cherico wanger (1 and 2 and,3 and,4 and 5) ((1) sustainable agricultural systems & engineering laboratory, school of engineering, westlake university, hangzhou, china, (2) key laboratory of coastal environment and resources of zhejiang province, westlake university, hangzhou, china, (3) faculty of science, technology & medicine, university of luxembourg, luxembourg, (4) global agroforestry network, hangzhou, china, (5) china rice network, hangzhou, china)","physics and society","sustainable agriculture in the 21st century requires the production of sufficient food while reducing the environmental impact and safeguarding human livelihoods. many studies have confirmed agricultural diversification practices such as intercropping, organic farming and soil inoculations as a suitable pathway to achieve these goals, but long-term viability of socioeconomic and ecological benefits is uncertain. here, we quantified the long-term effects of agricultural diversification practices on socioeconomic and ecological benefits based on 50 years of data from 184 meta-analyses and 4,260 effect sizes. we showed that, with neutral crop yield over time, financial profitability, most variables related to biological communities, all aspects of soil quality, and carbon sequestration benefits increased by up to 2823% over 20 years of practice. non-crop diversification practices and the use of organic amendments increased benefits by up to 2000% after 50 years. a trade-off analysis between yield and other services showed win-win outcomes during the first 25 years. our synthesis provides the urgently needed evidence for farmers and other decision-makers that diversification increases long-term profitability, biodiversity, and climate mitigation benefits, and therefore, allows upscaling diversification for climate change mitigation and global food system transformation.",2024-03-07
"16","the temperature affects the impact levels of synthetic insecticides on a parasitoid wasp used in the biological control of pentatomid pests in soybean crops","matheus rakes, maíra chagas morais, leandro do prado ribeiro, gabriel rodrigues palma, rafael de andrade moral, daniel bernardi, anderson dionei grützmacher","quantitative methods","the impact of climate change has led to growing global concern about the interaction of temperature and xenobiotics in agricultural toxicological studies. thus, for the first time, we evaluated the lethal, sublethal and transgerational effects of six insecticides used in the management of stink bug complex in soybean crops on the different life stages of the parasitoid telenomus podisi (hymenoptera: scelionidae) in three temperature levels (15, 25 and 30 °c). telenomus podisi adults (f0 generation), when exposed to insecticides based on acephate, spinosad and thiamethoxam + lambda-cyhalothrin, showed accumulated mortality of 100% at all temperature levels tested. on the other hand, methoxyfenozide + spinetoram caused average mortalities of 88.75% at 15 °c and 38.75% at 25 and 30 °c. in contrast, the mortality rates caused by chlorfenapyr at 15, 25 and 30 °c were 1.25, 71.25 and 71.25%. on the other hand, surviving adults in lethal toxicity bioassay did not show differences in egg parasitism (f0 generation) and emergence of f1 generation in all temperature levels studied; however, the insecticide methoxyfenozide + spinetoram showed the lowest level of parasitism and emergence of t. podisi. in addition, our results demonstrated significant changes in the proportion of emerged males and females as the temperature increased; however, we did not find any differences when comparing the insecticides studied. furthermore, we detected a significant interaction between insecticides and temperatures by contaminating the host's parasitized eggs (parasitoid pupal stage). generally, the highest emergence reduction values were found at the highest temperature studied (30 °c). our results highlighted the temperature-dependent impact of synthetic insecticides on parasitoids, which should be considered in toxicological risk assessments and under predicted climate change scenarios.",2024-03-08
"17","simulating battery-powered tinyml systems optimised using reinforcement learning in image-based anomaly detection","jared m. ping, ken j. nixon","machine learning","advances in tiny machine learning (tinyml) have bolstered the creation of smart industry solutions, including smart agriculture, healthcare and smart cities. whilst related research contributes to enabling tinyml solutions on constrained hardware, there is a need to amplify real-world applications by optimising energy consumption in battery-powered systems. the work presented extends and contributes to tinyml research by optimising battery-powered image-based anomaly detection internet of things (iot) systems. whilst previous work in this area has yielded the capabilities of on-device inferencing and training, there has yet to be an investigation into optimising the management of such capabilities using machine learning approaches, such as reinforcement learning (rl), to improve the deployment battery life of such systems. using modelled simulations, the battery life effects of an rl algorithm are benchmarked against static and dynamic optimisation approaches, with the foundation laid for a hardware benchmark to follow. it is shown that using rl within a tinyml-enabled iot system to optimise the system operations, including cloud anomaly processing and on-device training, yields an improved battery life of 22.86% and 10.86% compared to static and dynamic optimisation approaches respectively. the proposed solution can be deployed to resource-constrained hardware, given its low memory footprint of 800 b, which could be further reduced. this further facilitates the real-world deployment of such systems, including key sectors such as smart agriculture.",2024-03-08
"18","nano/micro-plastics effects in agricultural landscapes: an overlooked threat to pollination, biological pest control, and food security","dong sheng (1 and 2 and 3), siyuan jing (1 and 2 and 4), xueqing he (1 and 5), alexandra-maria klein (6), heinz-r. köhler (7), thomas c. wanger (1 and 2 and 8) ((1) sustainable agricultural systems & engineering lab, school of engineering, westlake university, hangzhou, china,(2) key laboratory of coastal environment and resources of zhejiang province, school of engineering, westlake university, hangzhou, china, (3) college of environmental and resource sciences, zhejiang university, hangzhou, china, (4) department of environmental science and engineering, fudan university, shanghai, china, (5) department of health and environmental sciences, xian jiaotong-liverpool university, suzhou, china, (6) nature conservation and landscape ecology, university of freiburg, freiburg, germany, (7) animal physiological ecology, institute of evolution and ecology, university of tuebingen, tuebingen, germany, (8) agroecology, university of goettingen, goettingen, germany)","other quantitative biology","biodiversity-associated ecosystem services such as pollination and biocontrol may be severely affected by emerging nano/micro-plastics (nmp) pollution. we synthesized the little-explored effects of nmp on pollinators and biocontrol agents on the organismal, farm and landscape scale. for instance ingested nmp trigger organismal changes from gene expression, organ damage to behavior modifications. at the farm and landscape level, nmp will likely amplify synergistic effects with other threats such as pathogens and antibiotics, and may alter landscape properties such as floral resource distributions in high nmp concentration areas, what we call nmp islands. it is essential to understand the functional exposure pathways of nmp on pollinators and biocontrol agents to comprehensively evaluate the risks for agricultural ecosystems and global food security.",2024-03-07
"19","unveiling nutrient flow mediated stress in the plant roots using on-chip phytofluidic device","kaushal agarwal, sumit kumar mehta, pranab kumar mondal","biological physics","the initial emergence of the primary root from a germinating seed is a pivotal phase that influences a plant's survival. abiotic factors such as ph, nutrient availability, and soil composition significantly affect root morphology and architecture. of particular interest is the impact of nutrient flow on thigmomorphogenesis, a response to mechanical stimulation in early root growth, which remains largely unexplored. this study explores the intricate factors influencing early root system development, with a focus on the cooperative correlation between nutrient uptake and its flow dynamics. using physiologically relevant, portable, and cost-effective microfluidic system for the controlled fluid environments offering hydraulic conductivity comparable to that of the soil, this study analyzes the interplay between nutrient flow and root growth post-germination. emphasizing the relationship between root growth and nitrogen uptake, the findings reveal that nutrient flow significantly influences early root morphology, leading to increased length and improved nutrient uptake, varying with the flow rate. the experimental findings are supported by stress-related fluid flow-root interaction simulations and quantitative determination of nitrogen uptake using the total kjeldahl nitrogen (tkn) method. the microfluidic approach offers novel insights into plant root dynamics under controlled flow conditions, filling a critical research gap. by providing a high-resolution platform, this study contributes to the understanding of how fluid-flow assisted nutrient uptake and pressure affect root-cell behavior, which, in turn, induces mechanical stress leading to thigmomorphogenesis. the findings hold implications for comprehending root responses to changing environmental conditions, paving the way for innovative agricultural and environmental management strategies.",2024-03-06
"20","identification of socioeconomic factors influencing global food price security using machine learning","shan shan","applications","global concern over food prices and security has been exacerbated by the impacts of armed conflicts such as the russia ukraine war, pandemic diseases, and climate change. traditionally, analyzing global food prices and their associations with socioeconomic factors has relied on static linear regression models. however, the complexity of socioeconomic factors and their implications extend beyond simple linear relationships. by incorporating determinants, critical characteristics identification, and comparative model analysis, this study aimed to identify the critical socioeconomic characteristics and multidimensional relationships associated with the underlying factors of food prices and security. machine learning tools were used to uncover the socioeconomic factors influencing global food prices from 2000 to 2022. a total of 105 key variables from the world development indicators and the food and agriculture organization of the united nations were selected. machine learning identified four key dimensions of food price security: economic and population metrics, military spending, health spending, and environmental factors. the top 30 determinants were selected for feature extraction using data mining. the efficiency of the support vector regression model allowed for precise prediction making and correlation analysis.
keywords: environment and growth, global economics, price fluctuation, support vector regression",2024-03-07
"21","fill-and-spill: deep reinforcement learning policy gradient methods for reservoir operation decision and control","sadegh sadeghi tabas, vidya samadi","machine learning","changes in demand, various hydrological inputs, and environmental stressors are among the issues that water managers and policymakers face on a regular basis. these concerns have sparked interest in applying different techniques to determine reservoir operation policy decisions. as the resolution of the analysis increases, it becomes more difficult to effectively represent a real-world system using traditional methods such as dynamic programming (dp) and stochastic dynamic programming (sdp) for determining the best reservoir operation policy. one of the challenges is the ""curse of dimensionality,"" which means the number of samples needed to estimate an arbitrary function with a given level of accuracy grows exponentially with respect to the number of input variables (i.e., dimensionality) of the function. deep reinforcement learning (drl) is an intelligent approach to overcome the curses of stochastic optimization problems for reservoir operation policy decisions. to our knowledge, this study is the first attempt that examine various novel drl continuous-action policy gradient methods (pgms), including deep deterministic policy gradients (ddpg), twin delayed ddpg (td3), and two different versions of soft actor-critic (sac18 and sac19) for optimizing reservoir operation policy. in this study, multiple drl techniques were implemented in order to find the optimal operation policy of folsom reservoir in california, usa. the reservoir system supplies agricultural, municipal, hydropower, and environmental flow demands and flood control operations to the city of sacramento. analysis suggests that the td3 and sac are robust to meet the folsom reservoir's demands and optimize reservoir operation policies.",2024-03-07
"22","time-dependent invasion laws for a liquid-liquid displacement system","ke xiao, chen-xu wu","soft condensed matter","capillary-driven flow of fluids occurs frequently in nature and has a wide range of technological applications in the fields of industry, agriculture, medicine, biotechnology, and microfluidics. by using the onsager variational principle, we propose a model to systematically study the capillary imbibition in titled tubes, and find different laws of time-dependent capillary invasion length for liquid-liquid displacement system other than lucas-washburn type under different circumstances. the good agreement between our model and experimental results shows that the imbibition dynamics in a capillary tube with a prefilled liquid slug can be well captured by the dynamic equation derived in this paper. our results bear important implications for macroscopic descriptions of multiphase flows in microfluidic systems and porous media.",2024-03-06
"23","performance evaluation of semi-supervised learning frameworks for multi-class weed detection","jiajia li, dong chen, xunyuan yin, zhaojian li","computer vision and pattern recognition","effective weed control plays a crucial role in optimizing crop yield and enhancing agricultural product quality. however, the reliance on herbicide application not only poses a critical threat to the environment but also promotes the emergence of resistant weeds. fortunately, recent advances in precision weed management enabled by ml and dl provide a sustainable alternative. despite great progress, existing algorithms are mainly developed based on supervised learning approaches, which typically demand large-scale datasets with manual-labeled annotations, which is time-consuming and labor-intensive. as such, label-efficient learning methods, especially semi-supervised learning, have gained increased attention in the broader domain of computer vision and have demonstrated promising performance. these methods aim to utilize a small number of labeled data samples along with a great number of unlabeled samples to develop high-performing models comparable to the supervised learning counterpart trained on a large amount of labeled data samples. in this study, we assess the effectiveness of a semi-supervised learning framework for multi-class weed detection, employing two well-known object detection frameworks, namely fcos and faster-rcnn. specifically, we evaluate a generalized student-teacher framework with an improved pseudo-label generation module to produce reliable pseudo-labels for the unlabeled data. to enhance generalization, an ensemble student network is employed to facilitate the training process. experimental results show that the proposed approach is able to achieve approximately 76\% and 96\% detection accuracy as the supervised methods with only 10\% of labeled data in cottenweeddet3 and cottonweeddet12, respectively. we offer access to the source code, contributing a valuable resource for ongoing semi-supervised learning research in weed detection and beyond.",2024-03-06
"24","the vehicle routing problem with synchronization constraints and support vehicle-dependent service times","david wittwer, felix tamke","optimization and control","many production processes require the cooperation of various resources. especially when using expensive machines, their utilization plays a decisive role in efficient production. in agricultural production or civil construction processes, e.g., harvesting or road building, the machines are typically mobile, and synchronization of different machine types is required to perform operations. in addition, the productivity of one type often depends on the availability of another type. in this paper, we consider two types of vehicles, called primary and support vehicles. primary vehicles perform operations and are assisted by at least one support vehicle, with more support vehicles resulting in faster service times for primary vehicles. we call this practical problem the vehicle routing and scheduling problem with support vehicle-dependent service times and introduce two mixed-integer linear programming models. the first represents each support vehicle individually with binary decision variables, while the second considers the cumulative flow of support vehicles with integer decision variables. furthermore, the models are defined on a graph that allows easy transformation into multiple variants. these variants are based on allowing or prohibiting switching support vehicles between primary vehicles and splitting services among primary vehicles. we show in our extensive computational experiments that: i) the integer representation of support vehicles is superior to the binary representation, ii) the benefit of additional vehicles is subject to saturation effects and depends on the ratio of support and primary vehicles, and iii) switching and splitting lead to problems that are more difficult to solve, but also result in better solutions with higher primary vehicle utilization.",2024-03-05
"25","uncovering the sino-us dynamic risk spillovers effects: evidence from agricultural futures markets","han-yu zhu, peng-fei dai, wei-xing zhou","general economics","agricultural products play a critical role in human development. with economic globalization and the financialization of agricultural products continuing to advance, the interconnections between different agricultural futures have become closer. we utilize a tvp-var-dy model combined with the quantile method to measure the risk spillover between 11 agricultural futures on the futures exchanges of us and china from july 9,2014, to december 31,2022. this study yielded several significant findings. firstly, cbot corn, soybean, and wheat were identified as the primary risk transmitters, with dce corn and soybean as the main risk receivers. secondly, sudden events or increased economic uncertainty can increase the overall risk spillovers. thirdly, there is an aggregation of risk spillovers amongst agricultural futures based on the dynamic directional spillover results. lastly, the central agricultural futures under the conditional mean are cbot corn and soybean, while czce hard wheat and long-grained rice are the two risk spillover centers in extreme cases, as per the results of the spillover network and minimum spanning tree. based on these results, decision-makers are advised to safeguard against the price risk of agricultural futures under sudden economic events, and investors can utilize the results to construct a superior investment portfolio by taking different agricultural product futures as risk-leading indicators according to various situations.",2024-03-04
"26","the grasp loop signature: a topological representation for manipulation planning with ropes and cables","peter mitrano, dmitry berenson","robotics","robotic manipulation of deformable, one-dimensional objects (doos) like ropes or cables has important potential applications in manufacturing, agriculture, and surgery. in such environments, the task may involve threading through or avoiding becoming tangled with objects like racks or frames. grasping with multiple grippers can create closed loops between the robot and doo, and if an obstacle lies within this loop, it may be impossible to reach the goal. however, prior work has only considered the topology of the doo in isolation, ignoring the arms that are manipulating it. searching over possible grasps to accomplish the task without considering such topological information is very inefficient, as many grasps will not lead to progress on the task due to topological constraints. therefore, we propose a grasp loop signature which categorizes the topology of these grasp loops and show how it can be used to guide planning. we perform experiments in simulation on two doo manipulation tasks to show that using the signature is faster and succeeds more often than methods that rely on local geometry or finite-horizon planning. finally, we demonstrate using the signature in the real world to manipulate a cable in a scene with obstacles using a dual-arm robot.",2024-03-03
