"","title","author","subject","abstract","meta"
"11","Pedophysics: an open-source python package for soil geophysics","Gaston Mendoza Veirana, Philippe De Smedt, Jeroen Verhegge, Wim Cornelis","Geophysics (physics.geo-ph)","This study introduces Pedophysics, an open-source Python package designed to facilitate solutions for users who work in the field of soil assessment using near-surface geophysical electromagnetic techniques. At the core of this software is the ability to translate geophysical data into specific soil properties (and vice-versa) using pedophysical models (PM). Pedophysical modelling techniques offer valuable insights into various realms including precision agriculture, soil health, resource prospecting, nutrient and land management, hydrogeology, and heritage conservation. In developing a tool for pedophysical modelling, some challenges emerged: selecting suitable PMs from the extensive literature, adapting these to specific conditions, and ensuring adequate data availability. While addressing these, we designed an automated workflow that implements robust PMs (selected after a throughout review), apply different modelling approaches based on soil characteristics and targeted properties, and employs pedotransfer functions and assumptions to integrate missing soil data into PMs. The capabilities of Pedophysics extend to handling complex scenarios such as fusing data from different instruments, incorporating continuous monitoring measurements, and soil calibration data. With these solutions, Pedophysics automates the process of deriving targeted soil and geophysical properties with state-of-art accuracy. Hereby, users can rely on Pedophysics to implement specific knowledge about pedophysical modeling. The software promotes global access to advanced soil geophysical solutions by being open-source and encouraging community contributions. Pedophysics is written in pure Python and has minimal dependencies. It can be easily installed from the Python Package Index (PyPI).","Tue, 12 Mar 2024 10:09:53 UTC (1,066 KB)"
"12","Physics-constrained Active Learning for Soil Moisture Estimation and Optimal Sensor Placement","Jianxin Xie, Bing Yao, Zheyu Jiang","Signal Processing (eess.SP)","Soil moisture is a crucial hydrological state variable that has significant importance to the global environment and agriculture. Precise monitoring of soil moisture in crop fields is critical to reducing agricultural drought and improving crop yield. In-situ soil moisture sensors, which are buried at pre-determined depths and distributed across the field, are promising solutions for monitoring soil moisture. However, high-density sensor deployment is neither economically feasible nor practical. Thus, to achieve a higher spatial resolution of soil moisture dynamics using a limited number of sensors, we integrate a physics-based agro-hydrological model based on Richards' equation in a physics-constrained deep learning framework to accurately predict soil moisture dynamics in the soil's root zone. This approach ensures that soil moisture estimates align well with sensor observations while obeying physical laws at the same time. Furthermore, to strategically identify the locations for sensor placement, we introduce a novel active learning framework that combines space-filling design and physics residual-based sampling to maximize data acquisition potential with limited sensors. Our numerical results demonstrate that integrating Physics-constrained Deep Learning (P-DL) with an active learning strategy within a unified framework--named the Physics-constrained Active Learning (P-DAL) framework--significantly improves the predictive accuracy and effectiveness of field-scale soil moisture monitoring using in-situ sensors.","Tue, 12 Mar 2024 00:45:34 UTC (1,655 KB)"
"13","A Geospatial Approach to Predicting Desert Locust Breeding Grounds in Africa","Ibrahim Salihu Yusuf, Mukhtar Opeyemi Yusuf, Kobby Panford-Quainoo, Arnu Pretorius","Machine Learning (cs.LG)","Desert locust swarms present a major threat to agriculture and food security. Addressing this challenge, our study develops an operationally-ready model for predicting locust breeding grounds, which has the potential to enhance early warning systems and targeted control measures. We curated a dataset from the United Nations Food and Agriculture Organization's (UN-FAO) locust observation records and analyzed it using two types of spatio-temporal input features: remotely-sensed environmental and climate data as well as multi-spectral earth observation images. Our approach employed custom deep learning models (three-dimensional and LSTM-based recurrent convolutional networks), along with the geospatial foundational model Prithvi recently released by Jakubik et al., 2023. These models notably outperformed existing baselines, with the Prithvi-based model, fine-tuned on multi-spectral images from NASA's Harmonized Landsat and Sentinel-2 (HLS) dataset, achieving the highest accuracy, F1 and ROC-AUC scores (83.03%, 81.53% and 87.69%, respectively). A significant finding from our research is that multi-spectral earth observation images alone are sufficient for effective locust breeding ground prediction without the need to explicitly incorporate climatic or environmental features.","Mon, 11 Mar 2024 16:13:58 UTC (7,006 KB)"
"14","A Microwave Imaging System for Soil Moisture Estimation in Subsurface Drip Irrigation","Mohammad Ramezaninia, Mohammad Zoofaghari","Image and Video Processing (eess.IV)","The microwave imaging system(MIS) stands out among prominent imaging tools for capturing images of concealed obstacles. Leveraging its capability to penetrate through heterogeneous environments MIS has been widely used for subsurface imaging. Monitoring subsurface drip irrigation(SDI) as an efficient procedure in agricultural irrigation is essential to maintain the required moisture percentage for plant growth which is a novel MIS application. In this research, we implement a laboratory-scale MIS for SDI reflecting real-world conditions to evaluate leakage localization and quantification in a heterogeneous area. We extract a model to quantify the moisture content by exploiting an imaging approach that could be used in a scheduled SDI. We employ the subspace information of images formed by back projection and Born approximation algorithms for model parametrization and estimate the model parameters using a statistical curve fitting technique. We then compare the performance of these imaging techniques in the presence of environmental clutter such as plant roots and pebbles. The proposed approach can well contribute to efficient mechanistic subsurface irrigation for which the local moisture around the root is obtained noninvasively and remotely with less than 20% estimation error.","Fri, 8 Mar 2024 21:38:17 UTC (10,131 KB)"
"15","Decades matter: Agricultural diversification increases financial profitability, biodiversity, and ecosystem services over time","Estelle Raveloaritiana (1 and 2), Thomas Cherico Wanger (1 and 2 and,3 and,4 and 5) ((1) Sustainable Agricultural Systems & Engineering Laboratory, School of Engineering, Westlake University, Hangzhou, China, (2) Key Laboratory of Coastal Environment and Resources of Zhejiang Province, Westlake University, Hangzhou, China, (3) Faculty of Science, Technology & Medicine, University of Luxembourg, Luxembourg, (4) Global Agroforestry Network, Hangzhou, China, (5) China Rice Network, Hangzhou, China)","Physics and Society (physics.soc-ph)","Sustainable agriculture in the 21st century requires the production of sufficient food while reducing the environmental impact and safeguarding human livelihoods. Many studies have confirmed agricultural diversification practices such as intercropping, organic farming and soil inoculations as a suitable pathway to achieve these goals, but long-term viability of socioeconomic and ecological benefits is uncertain. Here, we quantified the long-term effects of agricultural diversification practices on socioeconomic and ecological benefits based on 50 years of data from 184 meta-analyses and 4,260 effect sizes. We showed that, with neutral crop yield over time, financial profitability, most variables related to biological communities, all aspects of soil quality, and carbon sequestration benefits increased by up to 2823% over 20 years of practice. Non-crop diversification practices and the use of organic amendments increased benefits by up to 2000% after 50 years. A trade-off analysis between yield and other services showed win-win outcomes during the first 25 years. Our synthesis provides the urgently needed evidence for farmers and other decision-makers that diversification increases long-term profitability, biodiversity, and climate mitigation benefits, and therefore, allows upscaling diversification for climate change mitigation and global food system transformation.","Thu, 7 Mar 2024 22:14:15 UTC (3,537 KB)"
"16","The temperature affects the impact levels of synthetic insecticides on a parasitoid wasp used in the biological control of pentatomid pests in soybean crops","Matheus Rakes, Maíra Chagas Morais, Leandro do Prado Ribeiro, Gabriel Rodrigues Palma, Rafael de Andrade Moral, Daniel Bernardi, Anderson Dionei Grützmacher","Quantitative Methods (q-bio.QM)","The impact of climate change has led to growing global concern about the interaction of temperature and xenobiotics in agricultural toxicological studies. Thus, for the first time, we evaluated the lethal, sublethal and transgerational effects of six insecticides used in the management of stink bug complex in soybean crops on the different life stages of the parasitoid Telenomus podisi (Hymenoptera: Scelionidae) in three temperature levels (15, 25 and 30 °C). Telenomus podisi adults (F0 generation), when exposed to insecticides based on acephate, spinosad and thiamethoxam + lambda-cyhalothrin, showed accumulated mortality of 100% at all temperature levels tested. On the other hand, methoxyfenozide + spinetoram caused average mortalities of 88.75% at 15 °C and 38.75% at 25 and 30 °C. In contrast, the mortality rates caused by chlorfenapyr at 15, 25 and 30 °C were 1.25, 71.25 and 71.25%. On the other hand, surviving adults in lethal toxicity bioassay did not show differences in egg parasitism (F0 generation) and emergence of F1 generation in all temperature levels studied; however, the insecticide methoxyfenozide + spinetoram showed the lowest level of parasitism and emergence of T. podisi. In addition, our results demonstrated significant changes in the proportion of emerged males and females as the temperature increased; however, we did not find any differences when comparing the insecticides studied. Furthermore, we detected a significant interaction between insecticides and temperatures by contaminating the host's parasitized eggs (parasitoid pupal stage). Generally, the highest emergence reduction values were found at the highest temperature studied (30 °C). Our results highlighted the temperature-dependent impact of synthetic insecticides on parasitoids, which should be considered in toxicological risk assessments and under predicted climate change scenarios.","Fri, 8 Mar 2024 17:43:13 UTC (604 KB)"
"17","Simulating Battery-Powered TinyML Systems Optimised using Reinforcement Learning in Image-Based Anomaly Detection","Jared M. Ping, Ken J. Nixon","Machine Learning (cs.LG)","Advances in Tiny Machine Learning (TinyML) have bolstered the creation of smart industry solutions, including smart agriculture, healthcare and smart cities. Whilst related research contributes to enabling TinyML solutions on constrained hardware, there is a need to amplify real-world applications by optimising energy consumption in battery-powered systems. The work presented extends and contributes to TinyML research by optimising battery-powered image-based anomaly detection Internet of Things (IoT) systems. Whilst previous work in this area has yielded the capabilities of on-device inferencing and training, there has yet to be an investigation into optimising the management of such capabilities using machine learning approaches, such as Reinforcement Learning (RL), to improve the deployment battery life of such systems. Using modelled simulations, the battery life effects of an RL algorithm are benchmarked against static and dynamic optimisation approaches, with the foundation laid for a hardware benchmark to follow. It is shown that using RL within a TinyML-enabled IoT system to optimise the system operations, including cloud anomaly processing and on-device training, yields an improved battery life of 22.86% and 10.86% compared to static and dynamic optimisation approaches respectively. The proposed solution can be deployed to resource-constrained hardware, given its low memory footprint of 800 B, which could be further reduced. This further facilitates the real-world deployment of such systems, including key sectors such as smart agriculture.","Fri, 8 Mar 2024 07:09:56 UTC (373 KB)"
"18","Nano/micro-plastics effects in agricultural landscapes: an overlooked threat to pollination, biological pest control, and food security","Dong Sheng (1 and 2 and 3), Siyuan Jing (1 and 2 and 4), Xueqing He (1 and 5), Alexandra-Maria Klein (6), Heinz-R. Köhler (7), Thomas C. Wanger (1 and 2 and 8) ((1) Sustainable Agricultural Systems & Engineering Lab, School of Engineering, Westlake University, Hangzhou, China,(2) Key Laboratory of Coastal Environment and Resources of Zhejiang Province, School of Engineering, Westlake University, Hangzhou, China, (3) College of Environmental and Resource Sciences, Zhejiang University, Hangzhou, China, (4) Department of Environmental Science and Engineering, Fudan University, Shanghai, China, (5) Department of Health and Environmental Sciences, Xian Jiaotong-Liverpool University, Suzhou, China, (6) Nature Conservation and Landscape Ecology, University of Freiburg, Freiburg, Germany, (7) Animal Physiological Ecology, Institute of Evolution and Ecology, University of Tuebingen, Tuebingen, Germany, (8) Agroecology, University of Goettingen, Goettingen, Germany)","Other Quantitative Biology (q-bio.OT)","Biodiversity-associated ecosystem services such as pollination and biocontrol may be severely affected by emerging nano/micro-plastics (NMP) pollution. We synthesized the little-explored effects of NMP on pollinators and biocontrol agents on the organismal, farm and landscape scale. For instance ingested NMP trigger organismal changes from gene expression, organ damage to behavior modifications. At the farm and landscape level, NMP will likely amplify synergistic effects with other threats such as pathogens and antibiotics, and may alter landscape properties such as floral resource distributions in high NMP concentration areas, what we call NMP islands. It is essential to understand the functional exposure pathways of NMP on pollinators and biocontrol agents to comprehensively evaluate the risks for agricultural ecosystems and global food security.","Thu, 7 Mar 2024 22:04:48 UTC (1,284 KB)"
"19","Unveiling nutrient flow mediated stress in the plant roots using on-chip phytofluidic device","Kaushal Agarwal, Sumit Kumar Mehta, Pranab Kumar Mondal","Biological Physics (physics.bio-ph)","The initial emergence of the primary root from a germinating seed is a pivotal phase that influences a plant's survival. Abiotic factors such as pH, nutrient availability, and soil composition significantly affect root morphology and architecture. Of particular interest is the impact of nutrient flow on thigmomorphogenesis, a response to mechanical stimulation in early root growth, which remains largely unexplored. This study explores the intricate factors influencing early root system development, with a focus on the cooperative correlation between nutrient uptake and its flow dynamics. Using physiologically relevant, portable, and cost-effective microfluidic system for the controlled fluid environments offering hydraulic conductivity comparable to that of the soil, this study analyzes the interplay between nutrient flow and root growth post-germination. Emphasizing the relationship between root growth and nitrogen uptake, the findings reveal that nutrient flow significantly influences early root morphology, leading to increased length and improved nutrient uptake, varying with the flow rate. The experimental findings are supported by stress-related fluid flow-root interaction simulations and quantitative determination of nitrogen uptake using the Total Kjeldahl Nitrogen (TKN) method. The microfluidic approach offers novel insights into plant root dynamics under controlled flow conditions, filling a critical research gap. By providing a high-resolution platform, this study contributes to the understanding of how fluid-flow assisted nutrient uptake and pressure affect root-cell behavior, which, in turn, induces mechanical stress leading to thigmomorphogenesis. The findings hold implications for comprehending root responses to changing environmental conditions, paving the way for innovative agricultural and environmental management strategies.","Wed, 6 Mar 2024 05:29:25 UTC (1,917 KB)"
"20","Identification of socioeconomic factors influencing global food price security using machine learning","Shan Shan","Applications (stat.AP)","Global concern over food prices and security has been exacerbated by the impacts of armed conflicts such as the Russia Ukraine War, pandemic diseases, and climate change. Traditionally, analyzing global food prices and their associations with socioeconomic factors has relied on static linear regression models. However, the complexity of socioeconomic factors and their implications extend beyond simple linear relationships. By incorporating determinants, critical characteristics identification, and comparative model analysis, this study aimed to identify the critical socioeconomic characteristics and multidimensional relationships associated with the underlying factors of food prices and security. Machine learning tools were used to uncover the socioeconomic factors influencing global food prices from 2000 to 2022. A total of 105 key variables from the World Development Indicators and the Food and Agriculture Organization of the United Nations were selected. Machine learning identified four key dimensions of food price security: economic and population metrics, military spending, health spending, and environmental factors. The top 30 determinants were selected for feature extraction using data mining. The efficiency of the support vector regression model allowed for precise prediction making and correlation analysis.
Keywords: environment and growth, global economics, price fluctuation, support vector regression","Thu, 7 Mar 2024 05:24:11 UTC (7,538 KB)"
"21","Fill-and-Spill: Deep Reinforcement Learning Policy Gradient Methods for Reservoir Operation Decision and Control","Sadegh Sadeghi Tabas, Vidya Samadi","Machine Learning (cs.LG)","Changes in demand, various hydrological inputs, and environmental stressors are among the issues that water managers and policymakers face on a regular basis. These concerns have sparked interest in applying different techniques to determine reservoir operation policy decisions. As the resolution of the analysis increases, it becomes more difficult to effectively represent a real-world system using traditional methods such as Dynamic Programming (DP) and Stochastic Dynamic Programming (SDP) for determining the best reservoir operation policy. One of the challenges is the ""curse of dimensionality,"" which means the number of samples needed to estimate an arbitrary function with a given level of accuracy grows exponentially with respect to the number of input variables (i.e., dimensionality) of the function. Deep Reinforcement Learning (DRL) is an intelligent approach to overcome the curses of stochastic optimization problems for reservoir operation policy decisions. To our knowledge, this study is the first attempt that examine various novel DRL continuous-action policy gradient methods (PGMs), including Deep Deterministic Policy Gradients (DDPG), Twin Delayed DDPG (TD3), and two different versions of Soft Actor-Critic (SAC18 and SAC19) for optimizing reservoir operation policy. In this study, multiple DRL techniques were implemented in order to find the optimal operation policy of Folsom Reservoir in California, USA. The reservoir system supplies agricultural, municipal, hydropower, and environmental flow demands and flood control operations to the City of Sacramento. Analysis suggests that the TD3 and SAC are robust to meet the Folsom Reservoir's demands and optimize reservoir operation policies.","Thu, 7 Mar 2024 03:55:56 UTC (2,842 KB)"
"22","Time-dependent invasion laws for a liquid-liquid displacement system","Ke Xiao, Chen-Xu Wu","Soft Condensed Matter (cond-mat.soft)","Capillary-driven flow of fluids occurs frequently in nature and has a wide range of technological applications in the fields of industry, agriculture, medicine, biotechnology, and microfluidics. By using the Onsager variational principle, we propose a model to systematically study the capillary imbibition in titled tubes, and find different laws of time-dependent capillary invasion length for liquid-liquid displacement system other than Lucas-Washburn type under different circumstances. The good agreement between our model and experimental results shows that the imbibition dynamics in a capillary tube with a prefilled liquid slug can be well captured by the dynamic equation derived in this paper. Our results bear important implications for macroscopic descriptions of multiphase flows in microfluidic systems and porous media.","Wed, 6 Mar 2024 04:30:39 UTC (460 KB)"
"23","Performance Evaluation of Semi-supervised Learning Frameworks for Multi-Class Weed Detection","Jiajia Li, Dong Chen, Xunyuan Yin, Zhaojian Li","Computer Vision and Pattern Recognition (cs.CV)","Effective weed control plays a crucial role in optimizing crop yield and enhancing agricultural product quality. However, the reliance on herbicide application not only poses a critical threat to the environment but also promotes the emergence of resistant weeds. Fortunately, recent advances in precision weed management enabled by ML and DL provide a sustainable alternative. Despite great progress, existing algorithms are mainly developed based on supervised learning approaches, which typically demand large-scale datasets with manual-labeled annotations, which is time-consuming and labor-intensive. As such, label-efficient learning methods, especially semi-supervised learning, have gained increased attention in the broader domain of computer vision and have demonstrated promising performance. These methods aim to utilize a small number of labeled data samples along with a great number of unlabeled samples to develop high-performing models comparable to the supervised learning counterpart trained on a large amount of labeled data samples. In this study, we assess the effectiveness of a semi-supervised learning framework for multi-class weed detection, employing two well-known object detection frameworks, namely FCOS and Faster-RCNN. Specifically, we evaluate a generalized student-teacher framework with an improved pseudo-label generation module to produce reliable pseudo-labels for the unlabeled data. To enhance generalization, an ensemble student network is employed to facilitate the training process. Experimental results show that the proposed approach is able to achieve approximately 76\% and 96\% detection accuracy as the supervised methods with only 10\% of labeled data in CottenWeedDet3 and CottonWeedDet12, respectively. We offer access to the source code, contributing a valuable resource for ongoing semi-supervised learning research in weed detection and beyond.","Wed, 6 Mar 2024 00:59:51 UTC (20,515 KB)"
